2.404, 5.218
7.124, 9.62
11.972, 14.235
16.536, 17.417
19.489, 19.934
22.509, 25.053
26.997, 27.786
29.892, 31.100
32.727, 33.304
35.787, 38.341
40.548, 43.136
45.215, 48.138
50.117, 52.952
54.602, 55.918
57.604, 60.418
62.350, 63.340
65.164, 66.160
67.989, 69.246
70.86, 71.964
73.789, 74.644
76.482, 77.795
79.468, 80.131
82.193, 83.452
85.063, 86.081
88.061, 89.109
90.855, 91.935
93.621, 94.607
96.738, 99.441
101.257, 102.346
104.384, 106.858
109.090, 111.185
113.913, 116.046
118.365, 119.594
121.504, 123.572
126.275, 128.896
130.737, 132.038
133.695, 134.722
136.624, 137.862
139.367, 140.895
142.161, 143.610
145.041, 146.425
147.985, 148.704
150.836, 151.911
153.690, 154.162
156.545, 157.202
159.412, 160.498
162.250, 163.286
165.104, 166.172
167.962, 168.966
170.809, 171.969
